# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
parser.JSON.size.bytes,1779898162938000000,1779898213466000000,104
parser.XML.time.ns,1779898162938000000,1779898213466000000,59
lexer.HTML.time.ns,1779898162938000000,1779898213466000000,524982562
DiskQueryRelay.taskExecutionTotalTimeUs,1779898162938000000,1779898213466000000,2081034
lexer.Manifest.size.bytes,1779898162938000000,1779898213466000000,1665
DiskQueryRelay.taskWaitingTotalTimeUs,1779898162938000000,1779898213466000000,2549885
parser.XML.size.bytes,1779898162938000000,1779898213466000000,17108
lexer.Properties.time.ns,1779898162938000000,1779898213466000000,8351520
LowMemory.gcOverloaded,1779898162938000000,1779898213466000000,0
writeAction.median.wait.ms,1779898162938000000,1779898213466000000,0
parser.IgnoreLang.size.bytes,1779898162938000000,1779898213466000000,12
lexer.HTML.size.bytes,1779898162938000000,1779898213466000000,585037
lexer.Properties.size.bytes,1779898162938000000,1779898213466000000,5718
lexer.XML.time.ns,1779898162938000000,1779898213466000000,13153194
parser.Properties.time.ns,1779898162938000000,1779898213466000000,5743003
parser.JAVA.size.bytes,1779898162938000000,1779898213466000000,1461205
writeAction.wait.ms,1779898162938000000,1779898213466000000,113
DiskQueryRelay.tasksRequested,1779898162938000000,1779898213466000000,734
parser.XHTML.size.bytes,1779898162938000000,1779898213466000000,6093
lexer.JAVA.size.bytes,1779898162938000000,1779898213466000000,1331062
writeAction.count,1779898162938000000,1779898213466000000,18
lexer.JSON.size.bytes,1779898162938000000,1779898213466000000,104
parser.XHTML.time.ns,1779898162938000000,1779898213466000000,21285054
lexer.XHTML.time.ns,1779898162938000000,1779898213466000000,29062483
lexer.JAVA.time.ns,1779898162938000000,1779898213466000000,43368942
parser.Properties.size.bytes,1779898162938000000,1779898213466000000,5718
writeAction.max.wait.ms,1779898162938000000,1779898213466000000,106
lexer.XHTML.size.bytes,1779898162938000000,1779898213466000000,6093
parser.HTML.size.bytes,1779898162938000000,1779898213466000000,585037
parser.JSON.time.ns,1779898162938000000,1779898213466000000,13
parser.JAVA.time.ns,1779898162938000000,1779898213466000000,1114363432
lexer.XML.size.bytes,1779898162938000000,1779898213466000000,17108
DiskQueryRelay.tasksExecuted,1779898162938000000,1779898213466000000,733
parser.IgnoreLang.time.ns,1779898162938000000,1779898213466000000,8057141
lexer.JSON.time.ns,1779898162938000000,1779898213466000000,501436
parser.Manifest.time.ns,1779898162938000000,1779898213466000000,4764297
parser.Manifest.size.bytes,1779898162938000000,1779898213466000000,1665
lexer.IgnoreLang.time.ns,1779898162938000000,1779898213466000000,189232
lexer.IgnoreLang.size.bytes,1779898162938000000,1779898213466000000,12
parser.HTML.time.ns,1779898162938000000,1779898213466000000,678804314
LowMemory.gcLoad,1779898162938000000,1779898213466000000,0.0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1779898162938000000,1779898213466000000,41943040
FilePageCache.capacityInBytes,1779898162938000000,1779898213466000000,629145600
FilePageCache.pageLoads,1779898162938000000,1779898213466000000,212
FilePageCache.pageLoadsAboveSizeThreshold,1779898162938000000,1779898213466000000,0
FilePageCache.pageHits,1779898162938000000,1779898213466000000,5954
DirectByteBufferAllocator.reclaimed,1779898162938000000,1779898213466000000,43
FilePageCache.maxRegisteredFiles,1779898162938000000,1779898213466000000,439
DirectByteBufferAllocator.misses,1779898162938000000,1779898213466000000,209
FilePageCache.totalPageLoadsUs,1779898162938000000,1779898213466000000,394917
FilePageCache.uncachedFileAccess,1779898162938000000,1779898213466000000,88
FilePageCache.maxCacheSizeInBytes,1779898162938000000,1779898213466000000,219152384
StorageLockContext.competingThreads.90P,1779898162938000000,1779898213466000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1779898162938000000,1779898213466000000,0
DirectByteBufferAllocator.disposed,1779898162938000000,1779898213466000000,169
FilePageCache.pageFastCacheHits,1779898162938000000,1779898213466000000,31896
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1779898162938000000,1779898213466000000,41943040
FilePageCache.disposedBuffers,1779898162938000000,1779898213466000000,212
StorageLockContext.competingThreads.avg,1779898162938000000,1779898213466000000,0.08247422680412371
FilePageCache.totalPageDisposalsUs,1779898162938000000,1779898213466000000,5430
DirectByteBufferAllocator.hits,1779898162938000000,1779898213466000000,3
StorageLockContext.competingThreads.max,1779898162938000000,1779898213466000000,8
compiler.ArtifactManagerBridge.getArtifacts.ms,1779898162938000000,1779898213466000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1779898162938000000,1779898213466000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1779898162938000000,1779898213466000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1779898162938000000,1779898213466000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1779898162938000000,1779898213466000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1779898162938000000,1779898213466000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1779898162938000000,1779898213466000000,0
compiler.ArtifactManagerBridge.commit.ms,1779898162938000000,1779898213466000000,0
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1779898162938000000,1779898213466000000,0
MEM.ramBytes,1779898162938000000,1779898213466000000,1640165376
JVM.totalSafepointCount,1779898162938000000,1779898213466000000,64
JVM.GC.collections,1779898162938000000,1779898213466000000,52
OS.loadAverage,1779898162938000000,1779898213466000000,4.2626953125
MEM.ramPlusSwapMinusFileMappingsBytes,1779898162938000000,1779898213466000000,1167552512
JVM.totalTimeToSafepointsMs,1779898162938000000,1779898213466000000,13
JVM.newThreadsCount,1779898162938000000,1779898213466000000,325
JVM.totalTimeAtSafepointsMs,1779898162938000000,1779898213466000000,846
JVM.GC.collectionTimesMs,1779898162938000000,1779898213466000000,809
JVM.totalBytesAllocated,1779898162938000000,1779898213466000000,2801835128
JVM.usedNativeBytes,1779898162938000000,1779898213466000000,330774304
JVM.totalCpuTimeMs,1779898162938000000,1779898213466000000,154670
JVM.totalDirectByteBuffersBytes,1779898162938000000,1779898213466000000,41943041
JVM.committedHeapBytes,1779898162938000000,1779898213466000000,469762048
JVM.maxThreadCount,1779898162938000000,1779898213466000000,211
JVM.usedHeapBytes,1779898162938000000,1779898213466000000,313405232
JVM.maxHeapBytes,1779898162938000000,1779898213466000000,11584667648
MEM.fileMappingsRamBytes,1779898162938000000,1779898213466000000,472612864
JVM.threadCount,1779898162938000000,1779898213466000000,75
MEM.ramMinusFileMappingsBytes,1779898162938000000,1779898213466000000,1167552512
Indexing.cache.totalCacheEvicted,1779898162938000000,1779898213466000000,19403
Indexing.cache.totalCacheAccesses,1779898162938000000,1779898213466000000,43084
Indexes.allKeys.lookupDurationAvgMs,1779898162938000000,1779898213466000000,0.0
Indexing.totalTimeIndexersSleptMs,1779898162938000000,1779898213466000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1779898162938000000,1779898213466000000,685
Indexes.stubs.lookups,1779898162938000000,1779898213466000000,7214
Indexes.entries.lookupDuration90PMs,1779898162938000000,1779898213466000000,1.0
Indexing.writer_3.totalTimeSpentWritingMs,1779898162938000000,1779898213466000000,56
Indexes.stubs.lookupDurationAvgMs,1779898162938000000,1779898213466000000,0.21008869179600886
Indexing.writer_2.totalTimeSpentWritingMs,1779898162938000000,1779898213466000000,108
Indexes.allKeys.lookupDuration90PMs,1779898162938000000,1779898213466000000,0.0
Indexes.allKeys.lookups,1779898162938000000,1779898213466000000,0
Indexes.allKeys.lookupDurationMaxMs,1779898162938000000,1779898213466000000,0.0
Indexes.stubs.lookupDuration90PMs,1779898162938000000,1779898213466000000,0.0
Indexes.entries.lookupDurationMaxMs,1779898162938000000,1779898213466000000,20.0
Indexing.cache.totalCacheMisses,1779898162938000000,1779898213466000000,19403
Indexes.stubs.lookupDurationMaxMs,1779898162938000000,1779898213466000000,92.0
Indexing.writesQueuedAvg,1779898162938000000,1779898213466000000,0.26373626373626374
Indexing.writer_0.totalTimeSpentWritingMs,1779898162938000000,1779898213466000000,682
Indexes.entries.lookups,1779898162938000000,1779898213466000000,566
Indexing.writesQueuedMax,1779898162938000000,1779898213466000000,23
Indexes.entries.lookupDurationAvgMs,1779898162938000000,1779898213466000000,0.4973544973544973
Indexing.writesQueuedMin,1779898162938000000,1779898213466000000,0
