# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCache.pageFastCacheHits,1779836796391000000,1779836849036000000,372824
FilePageCache.disposedBuffers,1779836796391000000,1779836849036000000,214
FilePageCache.pageHits,1779836796391000000,1779836849036000000,92372
DirectByteBufferAllocator.disposed,1779836796391000000,1779836849036000000,171
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1779836796391000000,1779836849036000000,41943040
FilePageCache.capacityInBytes,1779836796391000000,1779836849036000000,629145600
FilePageCache.maxCacheSizeInBytes,1779836796391000000,1779836849036000000,221249536
FilePageCache.pageLoads,1779836796391000000,1779836849036000000,214
FilePageCache.totalPageLoadsUs,1779836796391000000,1779836849036000000,662259
FilePageCache.pageLoadsAboveSizeThreshold,1779836796391000000,1779836849036000000,0
FilePageCache.uncachedFileAccess,1779836796391000000,1779836849036000000,93
FilePageCache.maxRegisteredFiles,1779836796391000000,1779836849036000000,439
StorageLockContext.competingThreads.90P,1779836796391000000,1779836849036000000,0
FilePageCache.totalPageDisposalsUs,1779836796391000000,1779836849036000000,4590
DirectByteBufferAllocator.reclaimed,1779836796391000000,1779836849036000000,43
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1779836796391000000,1779836849036000000,41943040
DirectByteBufferAllocator.hits,1779836796391000000,1779836849036000000,3
